Site;Vegetation Class (Age/Fire);Drought Treatment;Plot #;GPS Location;Species;Plant Individual Number;TOMST_Logger_Number;Distance To Focal Individual (cm);Was there a neighbour plant?;Neighbour species;Deployment Date;Retrieval Date;Notes;;;;;;;;;;;
Lygra;Old;50;8,2;;Calluna vulgaris;2;94200498;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;8,2;;Vaccium vitis idea;1;95221052;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;8,2;;Empetrum Negrum;4;94200493;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;8,3;;Calluna vulgaris;3;94195204;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;8,3;;Vaccium vitis idea;3;94195221;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;8,3;;Vaccium myrtillus;1;94195202;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;8,3;;Empetrum Negrum;5;94195209;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;9,1;;Calluna vulgaris;3;94201725;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;9,1;;Vaccium vitis idea;3;94194637;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;9,2;;Calluna vulgaris;2;94195207;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;9,2;;Vaccium vitis idea;4;94195201;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;9,2;;Empetrum Negrum;2;94195266;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;9,3;;Calluna vulgaris;5;94195245;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;9,3;;Vaccium vitis idea;4;94200496;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
